route_number,stop_code,sequence_number,direction
100,BS001,1,FORWARD
100,BS002,2,FORWARD
100,BS003,3,FORWARD
100,BS009,4,FORWARD
100,BS014,5,FORWARD
100,BS014,1,BACKWARD
100,BS009,2,BACKWARD
100,BS003,3,BACKWARD
100,BS002,4,BACKWARD
100,BS001,5,BACKWARD
101,BS007,1,FORWARD
101,BS001,2,FORWARD
101,BS002,3,FORWARD
101,BS004,4,FORWARD
102,BS005,1,FORWARD
102,BS009,2,FORWARD
102,BS010,3,FORWARD
102,BS014,4,FORWARD
102,BS015,5,FORWARD
103,BS013,1,FORWARD
103,BS001,2,FORWARD
103,BS011,3,FORWARD
106,BS011,1,BOTH
106,BS016,2,BOTH
106,BS017,3,BOTH
106,BS001,4,BOTH
106,BS011,5,BOTH
