route_number,stop_code,departure_time,days_of_week,schedule_type,notes
100,BS001,06:00,127,REGULAR,Первый рейс
100,BS001,06:30,127,REGULAR,
100,BS001,07:00,127,REGULAR,
100,BS001,07:30,127,REGULAR,
100,BS001,08:00,127,REGULAR,
100,BS001,17:00,127,REGULAR,
100,BS001,17:30,127,REGULAR,
100,BS001,18:00,127,REGULAR,
100,BS001,18:30,127,REGULAR,
100,BS001,19:00,127,REGULAR,
100,BS001,23:00,127,REGULAR,Последний рейс
101,BS007,06:15,127,REGULAR,
101,BS007,06:45,127,REGULAR,
101,BS007,07:15,127,REGULAR,
101,BS007,16:45,127,REGULAR,
101,BS007,17:15,127,REGULAR,
101,BS007,17:45,127,REGULAR,
102,BS005,05:30,127,REGULAR,Аэропорт
102,BS005,06:00,127,REGULAR,
102,BS005,06:30,127,REGULAR,
102,BS005,15:30,127,REGULAR,
102,BS005,16:00,127,REGULAR,
102,BS005,16:30,127,REGULAR,
103,BS013,07:00,31,WORKDAYS,Только рабочие дни
103,BS013,08:00,31,WORKDAYS,
103,BS013,17:00,31,WORKDAYS,
103,BS013,18:00,31,WORKDAYS,
100,BS001,09:00,65,WEEKEND,Только выходные
100,BS001,10:00,65,WEEKEND,
100,BS001,11:00,65,WEEKEND,
