stop_code,name,latitude,longitude,is_active
BS001,Центральный вокзал,53.902284,27.561831,true
BS002,Площадь Независимости,53.901592,27.558366,true
BS003,Октябрьская площадь,53.898943,27.563515,true
BS004,Парк Горького,53.904872,27.568274,true
BS005,Национальная библиотека,53.931739,27.645822,true
BS006,Троицкое предместье,53.909532,27.558473,true
BS007,Железнодорожный вокзал,53.890265,27.550676,true
BS008,Комаровский рынок,53.893142,27.573102,true
BS009,Академия наук,53.926751,27.599235,true
BS010,Парк Челюскинцев,53.932882,27.650198,true
BS011,Минск-Арена,53.938882,27.483048,true
BS012,Чижовка,53.870192,27.577844,true
BS013,Зеленый Луг,53.876254,27.524784,true
BS014,Серова,53.956212,27.702360,true
BS015,Аэропорт Минск-2,53.884726,28.032482,true
BS016,Кунцевщина,53.890744,27.430938,false
BS017,Малиновка,53.848231,27.474844,false
BS018,Уручье,53.949013,27.684289,true
